Zona OMI,Numero di pannelli
AVELLINO - Zona OMI D4,293
AVELLINO - Zona OMI D8,275
AVELLINO - Zona OMI E4,85
AVELLINO - Zona OMI E12,122
AVELLINO - Zona OMI R1,164
AVELLINO - Zona OMI C1,159
AVELLINO - Zona OMI C2,163
AVELLINO - Zona OMI R2,111
AVELLINO - Zona OMI D2,613
AVELLINO - Zona OMI D5,89
AVELLINO - Zona OMI B3,112
AVELLINO - Zona OMI B1,178
AVELLINO - Zona OMI C3,484
AVELLINO - Zona OMI B2,79
AVELLINO - Zona OMI E11,56
AVELLINO - Zona OMI D1,68
AVELLINO - Zona OMI D3,43
